 time            v(nodeA)        time            v(nodeB)       
 1.24280000e-04  3.51950340e+00  1.24280000e-04  1.75975170e+00 
 1.25280000e-04  3.54174847e+00  1.25280000e-04  1.77087423e+00 
 1.26280000e-04  3.56385371e+00  1.26280000e-04  1.78192685e+00 
 1.27280000e-04  3.58581826e+00  1.27280000e-04  1.79290913e+00 
 1.28280000e-04  3.60764124e+00  1.28280000e-04  1.80382062e+00 
 1.29280000e-04  3.62932180e+00  1.29280000e-04  1.81466090e+00 
 1.30280000e-04  3.65085908e+00  1.30280000e-04  1.82542954e+00 
 1.31280000e-04  3.67225224e+00  1.31280000e-04  1.83612612e+00 
 1.32280000e-04  3.69350041e+00  1.32280000e-04  1.84675021e+00 
 1.33280000e-04  3.71460278e+00  1.33280000e-04  1.85730139e+00 
 1.34280000e-04  3.73555850e+00  1.34280000e-04  1.86777925e+00 
 1.35280000e-04  3.75636674e+00  1.35280000e-04  1.87818337e+00 
 1.36280000e-04  3.77702669e+00  1.36280000e-04  1.88851335e+00 
 1.37280000e-04  3.79753753e+00  1.37280000e-04  1.89876877e+00 
 1.38280000e-04  3.81789845e+00  1.38280000e-04  1.90894923e+00 
 1.39280000e-04  3.83810865e+00  1.39280000e-04  1.91905432e+00 
 1.40280000e-04  3.85816732e+00  1.40280000e-04  1.92908366e+00 
 1.41280000e-04  3.87807368e+00  1.41280000e-04  1.93903684e+00 
 1.42280000e-04  3.89782694e+00  1.42280000e-04  1.94891347e+00 
 1.43280000e-04  3.91742632e+00  1.43280000e-04  1.95871316e+00 
 1.44280000e-04  3.93687105e+00  1.44280000e-04  1.96843553e+00 
 1.45280000e-04  3.95616036e+00  1.45280000e-04  1.97808018e+00 
 1.46280000e-04  3.97529348e+00  1.46280000e-04  1.98764674e+00 
 1.47280000e-04  3.99426967e+00  1.47280000e-04  1.99713483e+00 
 1.48280000e-04  4.01308817e+00  1.48280000e-04  2.00654408e+00 
 1.49280000e-04  4.03174824e+00  1.49280000e-04  2.01587412e+00 
 1.50280000e-04  4.05024914e+00  1.50280000e-04  2.02512457e+00 
 1.51280000e-04  4.06859014e+00  1.51280000e-04  2.03429507e+00 
 1.52280000e-04  4.08677053e+00  1.52280000e-04  2.04338526e+00 
 1.53280000e-04  4.10478958e+00  1.53280000e-04  2.05239479e+00 
 1.54280000e-04  4.12264657e+00  1.54280000e-04  2.06132329e+00 
 1.55280000e-04  4.14034081e+00  1.55280000e-04  2.07017041e+00 
 1.56280000e-04  4.15787160e+00  1.56280000e-04  2.07893580e+00 
 1.57280000e-04  4.17523824e+00  1.57280000e-04  2.08761912e+00 
